year_start,year_end,party,branch,seats
1913,1915,dem,house,290
1913,1915,dem,senate,51
1913,1915,gop,house,127
1913,1915,gop,senate,44
1913,1915,other,house,18
1913,1915,other,senate,1
1913,1915,vacant,house,NA
1913,1915,vacant,senate,NA
1915,1917,dem,house,231
1915,1917,dem,senate,56
1915,1917,gop,house,193
1915,1917,gop,senate,39
1915,1917,other,house,8
1915,1917,other,senate,1
1915,1917,vacant,house,3
1915,1917,vacant,senate,NA
1917,1919,dem,house,210
1917,1919,dem,senate,53
1917,1919,gop,house,216
1917,1919,gop,senate,42
1917,1919,other,house,9
1917,1919,other,senate,1
1917,1919,vacant,house,NA
1917,1919,vacant,senate,NA
1919,1921,dem,house,191
1919,1921,dem,senate,47
1919,1921,gop,house,237
1919,1921,gop,senate,48
1919,1921,other,house,7
1919,1921,other,senate,1
1919,1921,vacant,house,NA
1919,1921,vacant,senate,NA
1921,1923,dem,house,132
1921,1923,dem,senate,37
1921,1923,gop,house,300
1921,1923,gop,senate,59
1921,1923,other,house,1
1921,1923,other,senate,NA
1921,1923,vacant,house,2
1921,1923,vacant,senate,NA
1923,1925,dem,house,207
1923,1925,dem,senate,43
1923,1925,gop,house,225
1923,1925,gop,senate,51
1923,1925,other,house,3
1923,1925,other,senate,2
1923,1925,vacant,house,NA
1923,1925,vacant,senate,NA
1925,1927,dem,house,183
1925,1927,dem,senate,40
1925,1927,gop,house,247
1925,1927,gop,senate,54
1925,1927,other,house,5
1925,1927,other,senate,1
1925,1927,vacant,house,NA
1925,1927,vacant,senate,1
1927,1929,dem,house,195
1927,1929,dem,senate,47
1927,1929,gop,house,237
1927,1929,gop,senate,48
1927,1929,other,house,3
1927,1929,other,senate,1
1927,1929,vacant,house,NA
1927,1929,vacant,senate,NA
1929,1931,dem,house,163
1929,1931,dem,senate,39
1929,1931,gop,house,267
1929,1931,gop,senate,56
1929,1931,other,house,1
1929,1931,other,senate,1
1929,1931,vacant,house,4
1929,1931,vacant,senate,NA
1931,1933,dem,house,217
1931,1933,dem,senate,47
1931,1933,gop,house,217
1931,1933,gop,senate,48
1931,1933,other,house,1
1931,1933,other,senate,1
1931,1933,vacant,house,NA
1931,1933,vacant,senate,NA
1933,1935,dem,house,313
1933,1935,dem,senate,59
1933,1935,gop,house,117
1933,1935,gop,senate,36
1933,1935,other,house,5
1933,1935,other,senate,1
1933,1935,vacant,house,NA
1933,1935,vacant,senate,NA
1935,1937,dem,house,322
1935,1937,dem,senate,69
1935,1937,gop,house,103
1935,1937,gop,senate,25
1935,1937,other,house,10
1935,1937,other,senate,2
1935,1937,vacant,house,NA
1935,1937,vacant,senate,NA
1937,1939,dem,house,333
1937,1939,dem,senate,75
1937,1939,gop,house,89
1937,1939,gop,senate,17
1937,1939,other,house,13
1937,1939,other,senate,4
1937,1939,vacant,house,NA
1937,1939,vacant,senate,NA
1939,1941,dem,house,262
1939,1941,dem,senate,69
1939,1941,gop,house,169
1939,1941,gop,senate,23
1939,1941,other,house,4
1939,1941,other,senate,4
1939,1941,vacant,house,NA
1939,1941,vacant,senate,NA
1941,1943,dem,house,267
1941,1943,dem,senate,66
1941,1943,gop,house,162
1941,1943,gop,senate,28
1941,1943,other,house,6
1941,1943,other,senate,2
1941,1943,vacant,house,NA
1941,1943,vacant,senate,NA
1943,1945,dem,house,222
1943,1945,dem,senate,57
1943,1945,gop,house,209
1943,1945,gop,senate,38
1943,1945,other,house,4
1943,1945,other,senate,1
1943,1945,vacant,house,NA
1943,1945,vacant,senate,NA
1945,1947,dem,house,243
1945,1947,dem,senate,57
1945,1947,gop,house,190
1945,1947,gop,senate,38
1945,1947,other,house,2
1945,1947,other,senate,1
1945,1947,vacant,house,NA
1945,1947,vacant,senate,NA
1947,1949,dem,house,188
1947,1949,dem,senate,45
1947,1949,gop,house,246
1947,1949,gop,senate,51
1947,1949,other,house,1
1947,1949,other,senate,NA
1947,1949,vacant,house,NA
1947,1949,vacant,senate,NA
1949,1951,dem,house,263
1949,1951,dem,senate,54
1949,1951,gop,house,171
1949,1951,gop,senate,42
1949,1951,other,house,1
1949,1951,other,senate,NA
1949,1951,vacant,house,NA
1949,1951,vacant,senate,NA
1951,1953,dem,house,234
1951,1953,dem,senate,48
1951,1953,gop,house,199
1951,1953,gop,senate,47
1951,1953,other,house,2
1951,1953,other,senate,1
1951,1953,vacant,house,NA
1951,1953,vacant,senate,NA
1953,1955,dem,house,213
1953,1955,dem,senate,46
1953,1955,gop,house,221
1953,1955,gop,senate,48
1953,1955,other,house,1
1953,1955,other,senate,2
1953,1955,vacant,house,NA
1953,1955,vacant,senate,NA
1955,1957,dem,house,232
1955,1957,dem,senate,48
1955,1957,gop,house,203
1955,1957,gop,senate,47
1955,1957,other,house,NA
1955,1957,other,senate,1
1955,1957,vacant,house,NA
1955,1957,vacant,senate,NA
1957,1959,dem,house,234
1957,1959,dem,senate,49
1957,1959,gop,house,201
1957,1959,gop,senate,47
1957,1959,other,house,NA
1957,1959,other,senate,NA
1957,1959,vacant,house,NA
1957,1959,vacant,senate,NA
1959,1961,dem,house,283
1959,1961,dem,senate,64
1959,1961,gop,house,153
1959,1961,gop,senate,34
1959,1961,other,house,1
1959,1961,other,senate,NA
1959,1961,vacant,house,NA
1959,1961,vacant,senate,NA
1961,1963,dem,house,262
1961,1963,dem,senate,64
1961,1963,gop,house,175
1961,1963,gop,senate,36
1961,1963,other,house,NA
1961,1963,other,senate,NA
1961,1963,vacant,house,NA
1961,1963,vacant,senate,NA
1963,1965,dem,house,258
1963,1965,dem,senate,67
1963,1965,gop,house,176
1963,1965,gop,senate,33
1963,1965,other,house,NA
1963,1965,other,senate,NA
1963,1965,vacant,house,1
1963,1965,vacant,senate,NA
1965,1967,dem,house,295
1965,1967,dem,senate,68
1965,1967,gop,house,140
1965,1967,gop,senate,32
1965,1967,other,house,NA
1965,1967,other,senate,NA
1965,1967,vacant,house,NA
1965,1967,vacant,senate,NA
1967,1969,dem,house,247
1967,1969,dem,senate,64
1967,1969,gop,house,187
1967,1969,gop,senate,36
1967,1969,other,house,NA
1967,1969,other,senate,NA
1967,1969,vacant,house,1
1967,1969,vacant,senate,NA
1969,1971,dem,house,243
1969,1971,dem,senate,58
1969,1971,gop,house,192
1969,1971,gop,senate,42
1969,1971,other,house,NA
1969,1971,other,senate,NA
1969,1971,vacant,house,NA
1969,1971,vacant,senate,NA
1971,1973,dem,house,255
1971,1973,dem,senate,54
1971,1973,gop,house,180
1971,1973,gop,senate,44
1971,1973,other,house,NA
1971,1973,other,senate,2
1971,1973,vacant,house,NA
1971,1973,vacant,senate,NA
1973,1975,dem,house,242
1973,1975,dem,senate,56
1973,1975,gop,house,192
1973,1975,gop,senate,42
1973,1975,other,house,1
1973,1975,other,senate,2
1973,1975,vacant,house,NA
1973,1975,vacant,senate,NA
1975,1977,dem,house,291
1975,1977,dem,senate,61
1975,1977,gop,house,144
1975,1977,gop,senate,37
1975,1977,other,house,NA
1975,1977,other,senate,2
1975,1977,vacant,house,NA
1975,1977,vacant,senate,NA
1977,1979,dem,house,292
1977,1979,dem,senate,61
1977,1979,gop,house,143
1977,1979,gop,senate,38
1977,1979,other,house,NA
1977,1979,other,senate,1
1977,1979,vacant,house,NA
1977,1979,vacant,senate,NA
1979,1981,dem,house,277
1979,1981,dem,senate,58
1979,1981,gop,house,158
1979,1981,gop,senate,41
1979,1981,other,house,NA
1979,1981,other,senate,1
1979,1981,vacant,house,NA
1979,1981,vacant,senate,NA
1981,1983,dem,house,242
1981,1983,dem,senate,46
1981,1983,gop,house,192
1981,1983,gop,senate,53
1981,1983,other,house,1
1981,1983,other,senate,1
1981,1983,vacant,house,NA
1981,1983,vacant,senate,NA
1983,1985,dem,house,269
1983,1985,dem,senate,46
1983,1985,gop,house,166
1983,1985,gop,senate,54
1983,1985,other,house,NA
1983,1985,other,senate,NA
1983,1985,vacant,house,NA
1983,1985,vacant,senate,NA
1985,1987,dem,house,253
1985,1987,dem,senate,47
1985,1987,gop,house,182
1985,1987,gop,senate,53
1985,1987,other,house,NA
1985,1987,other,senate,NA
1985,1987,vacant,house,NA
1985,1987,vacant,senate,NA
1987,1989,dem,house,258
1987,1989,dem,senate,55
1987,1989,gop,house,177
1987,1989,gop,senate,45
1987,1989,other,house,NA
1987,1989,other,senate,NA
1987,1989,vacant,house,NA
1987,1989,vacant,senate,NA
1989,1991,dem,house,260
1989,1991,dem,senate,55
1989,1991,gop,house,175
1989,1991,gop,senate,45
1989,1991,other,house,NA
1989,1991,other,senate,NA
1989,1991,vacant,house,NA
1989,1991,vacant,senate,NA
1991,1993,dem,house,267
1991,1993,dem,senate,56
1991,1993,gop,house,167
1991,1993,gop,senate,44
1991,1993,other,house,1
1991,1993,other,senate,NA
1991,1993,vacant,house,NA
1991,1993,vacant,senate,NA
1993,1995,dem,house,258
1993,1995,dem,senate,57
1993,1995,gop,house,176
1993,1995,gop,senate,43
1993,1995,other,house,1
1993,1995,other,senate,NA
1993,1995,vacant,house,NA
1993,1995,vacant,senate,NA
1995,1997,dem,house,204
1995,1997,dem,senate,47
1995,1997,gop,house,230
1995,1997,gop,senate,53
1995,1997,other,house,1
1995,1997,other,senate,NA
1995,1997,vacant,house,NA
1995,1997,vacant,senate,NA
1997,1999,dem,house,206
1997,1999,dem,senate,45
1997,1999,gop,house,227
1997,1999,gop,senate,55
1997,1999,other,house,2
1997,1999,other,senate,NA
1997,1999,vacant,house,NA
1997,1999,vacant,senate,NA
1999,2001,dem,house,211
1999,2001,dem,senate,45
1999,2001,gop,house,223
1999,2001,gop,senate,55
1999,2001,other,house,1
1999,2001,other,senate,NA
1999,2001,vacant,house,NA
1999,2001,vacant,senate,NA
2001,2003,dem,house,212
2001,2003,dem,senate,50
2001,2003,gop,house,221
2001,2003,gop,senate,50
2001,2003,other,house,2
2001,2003,other,senate,0
2001,2003,vacant,house,NA
2001,2003,vacant,senate,NA
2003,2005,dem,house,205
2003,2005,dem,senate,48
2003,2005,gop,house,229
2003,2005,gop,senate,51
2003,2005,other,house,1
2003,2005,other,senate,1
2003,2005,vacant,house,NA
2003,2005,vacant,senate,NA
2005,2007,dem,house,202
2005,2007,dem,senate,44
2005,2007,gop,house,232
2005,2007,gop,senate,55
2005,2007,other,house,1
2005,2007,other,senate,1
2005,2007,vacant,house,NA
2005,2007,vacant,senate,NA
2007,2009,dem,house,233
2007,2009,dem,senate,49
2007,2009,gop,house,202
2007,2009,gop,senate,49
2007,2009,other,house,NA
2007,2009,other,senate,2
2007,2009,vacant,house,NA
2007,2009,vacant,senate,NA
2009,2011,dem,house,257
2009,2011,dem,senate,56
2009,2011,gop,house,178
2009,2011,gop,senate,41
2009,2011,other,house,NA
2009,2011,other,senate,2
2009,2011,vacant,house,NA
2009,2011,vacant,senate,1
2011,2013,dem,house,193
2011,2013,dem,senate,51
2011,2013,gop,house,242
2011,2013,gop,senate,47
2011,2013,other,house,NA
2011,2013,other,senate,2
2011,2013,vacant,house,NA
2011,2013,vacant,senate,NA
2013,2015,dem,house,201
2013,2015,dem,senate,53
2013,2015,gop,house,234
2013,2015,gop,senate,45
2013,2015,other,house,NA
2013,2015,other,senate,2
2013,2015,vacant,house,NA
2013,2015,vacant,senate,NA
2015,2017,dem,house,188
2015,2017,dem,senate,44
2015,2017,gop,house,247
2015,2017,gop,senate,54
2015,2017,other,house,NA
2015,2017,other,senate,2
2015,2017,vacant,house,NA
2015,2017,vacant,senate,NA
2017,2019,dem,house,194
2017,2019,dem,senate,46
2017,2019,gop,house,241
2017,2019,gop,senate,52
2017,2019,other,house,NA
2017,2019,other,senate,2
2017,2019,vacant,house,NA
2017,2019,vacant,senate,NA
2019,2021,dem,house,235
2019,2021,dem,senate,45
2019,2021,gop,house,198
2019,2021,gop,senate,53
2019,2021,other,house,NA
2019,2021,other,senate,2
2019,2021,vacant,house,2
2019,2021,vacant,senate,NA
