Player,Pos,School,Ht,Wt,Dash40,Vertical,Bench,Broad Jump,Cone3,Shuttle,Team,Round,Pick
Dante Pettis,WR,Washington,73.00,186,,,,,,,San Francisco 49ers ,2,44
Kemoko Turay,EDGE,Rutgers,77.00,253,4.65,,,,,,Indianapolis Colts ,2,52
Josh Adams,RB,Notre Dame,74.00,213,,,18,,,,NA,0,0
Ola Adeniyi,EDGE,Toledo,74.00,248,4.83,31.5,26,,7.21,4.28,NA,0,0
Jordan Akins,TE,Central Florida,75.00,249,,,,,,,Houston Texans ,3,98
Jaire Alexander,CB,Louisville,71.00,192,4.38,35,14,127,6.71,3.98,Green Bay Packers ,1,18
Austin Allen,QB,Arkansas,73.00,210,4.81,29.5,,112,7.18,4.48,NA,0,0
Brian Allen,C,Michigan St.,73.00,298,5.34,26.5,27,99,7.81,4.71,Los Angeles Rams ,4,111
Josh Allen,QB,Wyoming,77.00,237,4.75,33.5,,119,6.9,4.4,Buffalo Bills ,1,7
Marcus Allen,S,Penn St.,74.00,202,,37,15,127,,4.32,NA,0,0
Mark Andrews,TE,Oklahoma,77.00,256,4.67,31,17,113,7.34,4.38,Baltimore Ravens ,3,86
Troy Apke,S,Penn St.,74.00,198,4.34,41,16,131,6.56,4.03,NA,0,0
Dorance Armstrong,EDGE,Kansas,76.00,257,4.87,30,20,118,7.12,4.23,NA,0,0
Ade Aruna,DE,Tulane,78.00,262,4.6,38.5,18,128,7.53,4.48,Minnesota Vikings ,6,218
Marcell Ateman,WR,Oklahoma St.,76.00,216,4.62,34,13,121,7.07,4.25,Oakland Raiders ,7,228
John Atkins,DT,Georgia,76.00,321,5.38,24,,89,7.95,4.75,NA,0,0
Anthony Averett,CB,Alabama,73.00,185,4.36,31.5,13,119,6.93,4.4,Baltimore Ravens ,4,118
Genard Avery,ILB,Memphis,73.00,248,4.59,36,26,124,6.9,4.36,NA,0,0
Mike Badgley,K,Miami,70.00,183,4.94,,,111,,,NA,0,0
Jerome Baker,OLB,Ohio St.,73.00,229,4.53,36.5,22,126,,,Miami Dolphins ,3,73
Kalen Ballage,RB,Arizona State,73.00,228,4.46,33.5,15,122,6.91,4.35,Miami Dolphins ,4,131
Saquon Barkley,RB,Penn St.,73.00,233,4.4,41,29,,,4.24,New York Giants ,1,2
J.T. Barrett,QB,Ohio St.,73.00,224,4.7,30,,108,7.38,4.44,NA,0,0
Jessie Bates,S,Wake Forest,74.00,195,4.5,35.5,,117,6.78,4.26,NA,0,0
Marcus Baugh,TE,Ohio St.,75.00,247,4.81,33,,117,7.28,4.51,NA,0,0
Nick Bawden,FB,San Diego St.,74.00,245,,,,,,,NA,0,0
Davin Bellamy,EDGE,Georgia,77.00,255,,,15,,,,NA,0,0
Kurt Benkert,QB,Virginia,75.00,218,4.95,31,16,112,7.15,4.33,NA,0,0
Braxton Berrios,WR,Miami,69.00,184,,,11,,,,New England Patriots ,6,210
Keishawn Bierria,ILB,Washington,74.00,230,4.79,30.5,21,117,7.26,,Denver Broncos ,6,217
Quin Blanding,S,Virginia,74.00,215,4.63,31.5,,122,,,NA,0,0
David Bright,OT,Stanford,77.00,307,,,,,,,NA,0,0
Andrew Brown,DE,Virginia,76.00,296,5.03,28,31,101,7.51,4.48,Cincinnati Bengals ,5,158
Drew Brown,K,Nebraska,70.00,208,,,,,,,NA,0,0
Orlando Brown,OT,Oklahoma,80.00,345,5.85,19.5,14,82,7.87,5.38,Baltimore Ravens ,3,83
Tony Brown,CB,Alabama,73.00,198,4.35,31.5,14,126,6.78,4.11,NA,0,0
Equanimeous St. brown,WR,Notre Dame,77.00,214,4.48,,20,,,,Green Bay Packers ,6,207
Taven Bryan,DT,Florida,76.00,291,4.98,35,30,119,7.12,4.48,Jacksonville Jaguars ,1,29
Oren Burks,OLB,Vanderbilt,75.00,233,4.59,39.5,18,131,6.82,4.15,Green Bay Packers ,3,88
Deontay Burnett,WR,USC,73.00,186,,,,,,,NA,0,0
Jason Cabinda,ILB,Penn St.,73.00,239,,,19,,,,NA,0,0
Deon Cain,WR,Clemson,74.00,202,4.43,33.5,11,115,6.71,4.37,Indianapolis Colts ,6,185
Antonio Callaway,WR,Florida,71.00,200,4.41,34,,121,,,Cleveland Browns ,4,105
Chris Campbell,CB,Penn St.,73.00,194,,,14,,,,NA,0,0
Dylan Cantrell,WR,Texas Tech,75.00,226,4.59,38.5,18,130,6.56,4.03,Los Angeles Chargers ,6,191
Alex Cappa,OT,Humboldt St.,78.00,305,5.39,26.5,24,97,8.04,4.84,NA,0,0
Tanner Carew,LS,Oregon,73.00,243,5,30,18,111,7.26,4.28,NA,0,0
Daniel Carlson,K,Auburn,77.00,213,,,,,,,NA,0,0
Lorenzo Carter,EDGE,Georgia,78.00,250,4.5,36,,130,,,New York Giants ,3,66
Andre Chachere,CB,San Jose St.,73.00,200,4.49,38,13,123,6.78,4.07,NA,0,0
Sean Chandler,S,Temple,73.00,190,4.65,34.5,16,119,,4.62,NA,0,0
D.J. Chark,WR,LSU,75.00,199,4.34,40,16,129,,,NA,0,0
Geron Christian,OT,Louisville,77.00,298,5.33,,19,,,,Washington Redskins ,3,74
Bradley Chubb,DE,North Carolina St.,76.00,269,4.65,36,24,121,7.37,4.41,Denver Broncos ,1,5
Nick Chubb,RB,Georgia,71.00,227,4.52,38.5,29,128,7.09,4.25,Cleveland Browns ,2,35
Jack Cichy,ILB,Wisconsin,74.00,238,,,18,,,,Tampa Bay Buccaneers ,6,202
Will Clapp,C,LSU,76.00,311,5.39,29,25,97,8.04,4.92,New Orleans Saints ,7,245
Simmie Cobbs,WR,Indiana,75.00,220,4.64,30,11,113,6.7,4.32,NA,0,0
Mason Cole,C,Michigan,76.00,307,5.23,23.5,23,104,7.77,4.78,Arizona Cardinals ,3,97
Lavon Coleman,RB,Washington,71.00,215,4.65,33,23,120,,,NA,0,0
Tyler Conklin,TE,Central Michigan,75.00,254,4.8,38,18,120,7.13,4.23,NA,0,0
Austin Corbett,OG,Nevada,76.00,306,5.15,28,19,106,7.87,4.5,Cleveland Browns ,2,33
Keke Coutee,WR,Texas Tech,70.00,181,4.43,34.5,14,113,6.93,4.15,Houston Texans ,4,103
Chris Covington,OLB,Indiana,74.00,245,4.78,,23,,,,NA,0,0
Justin Crawford,RB,West Virginia,71.00,199,4.64,33.5,11,122,,,NA,0,0
Tyrell Crosby,OT,Oregon,77.00,309,5.23,30,17,105,7.89,4.77,Detroit Lions ,5,153
Dane Cruikshank,S,Arizona,73.00,206,4.41,38.5,25,121,6.89,4.24,Tennessee Titans ,5,152
Trevor Daniel,P,Tennessee,73.00,230,4.98,32.5,23,119,,,NA,0,0
James Daniels,C,Iowa,75.00,306,,30.5,21,108,7.29,4.4,Chicago Bears ,2,39
Sam Darnold,QB,USC,75.00,221,4.85,26.5,,105,6.96,4.4,New York Jets ,1,3
Marcus Davenport,DE,Texas-San Antonio,78.00,264,4.58,33.5,22,124,7.2,4.41,New Orleans Saints ,1,14
Joseph Davidson,P,Bowling Green,79.00,232,,,,,,,NA,0,0
Carlton Davis,CB,Auburn,73.00,203,4.53,34,16,124,,,Tampa Bay Buccaneers ,2,63
Duke Dawson,CB,Florida,70.00,208,4.46,,15,,,,New England Patriots ,2,56
Dee Delaney,CB,Miami,73.00,194,4.46,32.5,13,120,6.95,4.25,NA,0,0
Nick Deluca,OLB,North Dakota St.,75.00,251,4.85,29.5,18,112,7.09,4.23,NA,0,0
Jamil Demby,OG,Maine,76.00,319,5.58,23.5,17,98,7.86,4.95,NA,0,0
Matt Dickerson,DE,UCLA,76.00,292,5.06,31,26,,,,NA,0,0
Michael Dickson,P,Texas,74.00,208,,,,,,,NA,0,0
Will Dissly,TE,Washington,76.00,262,4.87,28,15,111,7.07,4.4,NA,0,0
Garret Dooley,EDGE,Wisconsin,75.00,248,4.8,33,21,121,,4.28,NA,0,0
Chase Edmonds,RB,Fordham,69.00,205,4.55,34,19,122,6.79,4.07,NA,0,0
Terrell Edmunds,S,Virginia Tech,74.00,220,4.47,41.5,,134,,,NA,0,0
Tremaine Edmunds,LB,Virginia Tech,77.00,253,4.54,,19,117,,,Buffalo Bills ,1,16
Duke Ejiofor,DE,Wake Forest,76.00,264,,,,,,,Houston Texans ,6,177
Deshon Elliott,S,Texas,74.00,205,4.58,36,15,121,,,Baltimore Ravens ,6,190
Donnie Ernsberger,RB,Western Michigan,75.00,241,4.78,31,15,114,7.09,4.34,NA,0,0
Leighton Vander esch,ILB,Boise St.,76.00,256,4.65,39.5,20,124,6.88,4.15,Dallas Cowboys ,1,19
Danny Etling,QB,LSU,74.00,222,4.76,30.5,,114,7.09,4.37,NA,0,0
Rashaan Evans,LB,Alabama,75.00,232,,30,,116,6.95,4.36,Tennessee Titans ,1,22
Brandon Facyson,CB,Virginia Tech,74.00,197,4.53,,16,,,,NA,0,0
Luke Falk,QB,Washington St.,76.00,215,,26.5,,103,,,Tennessee Titans ,6,199
Rashard Fant,CB,Indiana,70.00,175,,,,,,,NA,0,0
Foley Fatukasi,DT,Connecticut,76.00,318,5.29,30,33,112,7.44,4.53,NA,0,0
Riley Ferguson,QB,Memphis,75.00,212,4.98,29,,110,6.96,4.4,NA,0,0
Kylie Fitts,EDGE,Utah,76.00,263,4.69,32.5,31,117,6.88,4.19,Chicago Bears ,6,181
Minkah Fitzpatrick,DB,Alabama,73.00,201,4.46,33,14,121,,,Miami Dolphins ,1,11
Dimitri Flowers,RB,Oklahoma,74.00,248,4.83,30.5,17,109,7.45,4.53,NA,0,0
Quinton Flowers,QB,South Florida,70.00,214,4.63,,,112,6.81,4.57,NA,0,0
Tre Flowers,S,Oklahoma St.,75.00,200,4.45,34.5,18,122,,,Seattle Seahawks ,5,146
Robert Foster,WR,Alabama,74.00,196,4.41,31,,116,6.9,4.2,NA,0,0
Jarvion Franklin,RB,Western Michigan,71.00,239,4.63,30,18,109,6.93,4.31,NA,0,0
John Franklin-Myers,DE,Stephen F. Austin,76.00,283,4.75,33,26,113,7.36,4.48,NA,0,0
Joshua Frazier,DT,Alabama,76.00,321,,,21,,,,NA,0,0
Royce Freeman,RB,Oregon,71.00,229,4.54,34,17,118,6.9,4.16,Denver Broncos ,3,71
Troy Fumagalli,TE,Wisconsin,77.00,247,,,14,,,,Denver Broncos ,5,156
Michael Gallup,WR,Colorado St.,73.00,205,4.51,36,10,122,6.95,4.37,Dallas Cowboys ,3,81
Nick Gates,OT,Nebraska,77.00,307,5.46,24,20,94,7.61,4.68,NA,0,0
Rashaan Gaulden,CB,Tennessee,73.00,193,4.61,30,8,119,7.16,4.33,Carolina Panthers ,3,85
Mike Gesicki,TE,Penn St.,77.00,247,4.54,41.5,22,129,6.76,4.1,Miami Dolphins ,2,42
Dallas Goedert,TE,South Dakota St.,77.00,256,,,23,,,,NA,0,0
Colby Gossett,OG,Appalachian St.,77.00,311,5.2,25,32,103,7.6,4.83,NA,0,0
Davon Grayson,WR,East Carolina,73.00,199,4.51,34.5,19,124,,,NA,0,0
Rasheem Green,DE,USC,77.00,275,4.73,32.5,,118,7.24,4.39,Seattle Seahawks ,3,79
Shaquem Griffin,OLB,Central Florida,73.00,227,4.38,,20,117,,,Seattle Seahawks ,5,141
Derrius Guice,RB,LSU,70.00,224,4.49,31.5,15,,,,Washington Redskins ,2,59
Grant Haley,CB,Penn St.,69.00,190,4.44,34,15,119,6.51,3.94,NA,0,0
Daesean Hamilton,WR,Penn St.,73.00,203,,34.5,,118,6.84,4.15,Denver Broncos ,4,113
Shaun dion Hamilton,ILB,Alabama,73.00,228,,,20,,,,NA,0,0
Dashawn Hand,DE,Alabama,76.00,297,4.83,31.5,28,111,7.98,4.62,NA,0,0
Davontae Harris,CB,Illinois St.,73.00,200,4.43,32.5,22,123,6.96,4.4,NA,0,0
Marcell Harris,S,Florida,73.00,208,,,16,,,,NA,0,0
Desmond Harrison,OT,West Georgia,78.00,292,4.9,,,,,,NA,0,0
Ronnie Harrison,S,Alabama,75.00,214,,34,,120,,,Jacksonville Jaguars ,3,93
Marquis Haynes,EDGE,Mississippi,75.00,235,4.67,32,23,123,7.14,4.45,Carolina Panthers ,4,136
Taylor Hearn,OG,Clemson,76.00,320,5.45,24,18,96,7.84,4.8,NA,0,0
James Hearns,EDGE,Louisville,75.00,239,4.89,,22,,,,NA,0,0
Quadree Henderson,WR,Pittsburgh,68.00,192,4.5,32.5,12,120,6.89,4.28,NA,0,0
Zaycoven Henderson,DT,Texas A&M,73.00,298,5.16,29.5,20,105,7.33,4.58,NA,0,0
Will Hernandez,OG,Texas-El Paso,74.00,327,5.15,24,37,104,7.59,4.7,New York Giants ,2,34
Chris Herndon,TE,Miami,76.00,253,,,21,,,,NA,0,0
Kyle Hicks,RB,TCU,70.00,204,4.63,36.5,13,122,,,NA,0,0
B.J. Hill,DT,North Carolina St.,76.00,311,4.99,26.5,35,101,7.28,4.53,New York Giants ,3,69
Holton Hill,CB,Texas,75.00,200,4.49,31,14,120,6.83,4.15,NA,0,0
Nyheim Hines,RB,North Carolina St.,68.00,198,4.38,35.5,,119,7.18,4.35,Indianapolis Colts ,4,104
Jeff Holland,EDGE,Auburn,74.00,249,4.79,,,116,,,NA,0,0
Jalyn Holmes,DE,Ohio St.,77.00,283,4.82,32,25,,,,Minnesota Vikings ,4,102
Sam Hubbard,DE,Ohio St.,77.00,270,,35,,116,6.84,4.32,Cincinnati Bengals ,3,77
Mike Hughes,CB,Central Florida,71.00,191,4.53,35.5,20,127,6.7,4.13,Minnesota Vikings ,1,30
Hayden Hurst,TE,South Carolina,76.00,250,4.67,31.5,,120,7.19,4.37,Baltimore Ravens ,1,25
Maurice Hurst,DT,Michigan,74.00,292,,,,,,,NA,0,0
Godwin Igwebuike,S,Northwestern,73.00,205,4.44,35.5,19,128,6.56,4.12,NA,0,0
Darren Carrington II,WR,Utah,74.00,199,,36,,120,,,NA,0,0
Joel Iyiegbuniwe,LB,Western Kentucky,73.00,229,4.6,35,19,117,7.06,4.28,NA,0,0
Ryan Izzo,TE,Florida St.,77.00,256,4.94,33,18,110,7.15,4.43,New England Patriots ,7,250
Darius Jackson,EDGE,Jacksonville St.,75.00,242,4.87,26.5,21,113,7.52,,NA,0,0
Donte Jackson,CB,LSU,71.00,175,4.32,,7,124,,,Carolina Panthers ,2,55
J.C. Jackson,CB,Maryland,71.00,193,4.46,35.5,14,120,,,NA,0,0
Josh Jackson,CB,Iowa,73.00,192,4.56,38,18,123,6.86,4.03,Green Bay Packers ,2,45
Justin Jackson,RB,Northwestern,73.00,199,4.52,38.5,13,122,6.81,4.07,Los Angeles Chargers ,7,251
Lamar Jackson,QB,Louisville,74.00,216,,,,,,,Baltimore Ravens ,1,32
Leon Jacobs,EDGE,Wisconsin,75.00,246,4.48,34.5,26,122,7.14,4.44,NA,0,0
Natrell Jamerson,S,Wisconsin,73.00,198,4.4,35.5,25,120,,,New Orleans Saints ,5,164
Derwin James,S,Florida St.,75.00,215,4.47,40,21,132,,,Los Angeles Chargers ,1,17
Richie James,WR,Middle Tennessee St.,70.00,183,4.48,35.5,6,122,6.87,4.16,NA,0,0
Malik Jefferson,OLB,Texas,75.00,236,4.52,36,27,125,,,Cincinnati Bengals ,3,78
Josey Jewell,ILB,Iowa,73.00,234,4.82,33,18,117,6.8,4.27,Denver Broncos ,4,106
Danny Johnson,CB,Southern,70.00,185,4.44,35,15,123,,,NA,0,0
Kerryon Johnson,RB,Auburn,71.00,213,,40,11,126,7.07,4.29,Detroit Lions ,2,43
Taron Johnson,CB,Weber St.,73.00,180,4.5,33,17,118,7.03,4.28,NA,0,0
Chris Jones,CB,Nebraska,73.00,195,4.57,,14,,,,NA,0,0
Jamarco Jones,OT,Ohio St.,76.00,299,5.5,24,,102,8.32,4.99,Seattle Seahawks ,5,168
Justin Jones,DT,North Carolina St.,74.00,309,5.09,29,24,104,7.82,4.74,Los Angeles Chargers ,3,84
Ronald Jones,RB,USC,71.00,205,4.65,36.5,,,,,NA,0,0
Sam Jones,OG,Arizona State,77.00,305,5.32,27,28,101,7.92,4.86,Denver Broncos ,6,183
Jaryd Jones-Smith,OT,Pittsburgh,78.00,317,5.22,27,16,109,8.1,4.94,NA,0,0
